Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time,,Word,Coded by Gentle,Picked up by Gentle,Onset Time ,Offset Time
thought.,thought,thought,451.76,452.08,,her,her,her,448.809999,448.889999
She,She,she,452.81,452.97,,raincoat's,raincoat's,<unk>,449.190001,449.410001
got,got,got,452.97,453.09,,hood,hood,hood,449.41,449.71
down,down,down,453.1,453.33,,over,over,over,449.709999,449.989999
on,on,on,453.33,453.41,,her,her,her,449.99,450.13
the,the,the,453.41,453.5,,head,head,head,450.129999,450.419999
floor,floor,floor,453.5,453.86,,and,and,and,450.45,450.67
and,and,and,453.86,454.05,,dashed,dashed,dashed,450.67,451.14
crawled,crawled,crawled,454.05,454.34,,through,through,through,451.15,451.33
"around,",around,around,454.34,454.79,,the,the,the,451.33,451.44
checking,checking,checking,455.01,455.32,,rain.,rain,rain,451.44,451.78
under,under,under,455.35,455.57,,Mr,Mr,mr,452.5,452.78
the,the,the,455.57,455.67,,Sleuth,Sleuth,sleuth,452.78,453.1
tables,tables,tables,455.67,456.17,,held,held,held,453.1,453.29
and,and,and,456.23,456.33,,the,the,the,453.29,453.36
the,the,the,456.34,456.43,,front,front,front,453.36,453.6
bookcases.,bookcases,bookcases,456.43,457.18,,door,door,door,453.6,453.81
But,But,but,457.76,457.95,,open,open,open,453.81,454.11
all,all,all,458,458.28,,for,for,for,454.11,454.25
Tully,Tully,tully,458.29,458.6,,her.,her,her,454.25,454.49
saw,saw,saw,458.599999,458.899999,,Caleb,Caleb,caleb,455.02,455.43
were,were,were,458.91,459.08,,was,was,was,455.44,455.64
little,little,little,459.08,459.33,,already,already,already,455.65,456.09
white,white,white,459.33,459.61,,waiting,waiting,waiting,456.09,456.58
"hairs,",hairs,hairs,459.61,460.06,,in,in,in,456.9,457.06
which,which,which,460.23,460.37,,the,the,the,457.06,457.16
stuck,stuck,stuck,460.38,460.7,,"lobby,",lobby,lobby,457.16,457.62
to,to,to,460.7,460.8,,shaking,shaking,shaking,457.72,458.13
the,the,the,460.8,460.9,,out,out,out,458.13,458.22
knees,knees,knees,460.9,461.17,,his,his,his,458.24,458.47
of,of,of,461.17,461.29,,wet,wet,wet,458.47,458.73
her,her,her,461.29,461.41,,hair.,hair,hair,458.74,459.16
pants.,pants,pants,461.41,461.9,,Come,Come,come,459.889999,460.159999
"Hmmm,",Hmmm,<unk>,462.719999,463.039999,,"on,",on,on,460.16,460.51
what,what,what,463.52,463.7,,Tully,Tully,tully,460.95,461.23
could,could,could,463.7,463.88,,said,said,said,461.23,461.49
those,those,those,463.88,464.09,,grabbing,grabbing,grabbing,461.49,461.82
be,be,be,464.11,464.27,,his,his,his,461.82,461.94
from?,from,from,464.27,464.61,,hand.,hand,hand,461.94,462.28
But,But,but,465.4,465.6,,We,We,we,462.66,462.77
first,first,first,465.62,465.91,,have,have,have,462.77,462.91
things,things,things,465.91,466.15,,work,work,work,462.91,463.12
"first,",first,first,466.15,466.56,,to,to,to,463.12,463.24
why,why,why,466.789999,467.029999,,do.,do,do,463.24,463.49
would,would,would,467.029999,467.209999,,They,They,they,464.299999,464.429999
someone,someone,someone,467.209999,467.499999,,gathered,gathered,gathered,464.429999,464.739999
steal,steal,steal,467.5,468,,the,the,the,464.759999,464.869999
Coco?,Coco,coco,468.05,468.64,,gang,gang,gang,464.87,465.26
Since,Since,since,469.1,469.38,,and,and,and,465.299999,465.449999
Tully,Tully,tully,469.38,469.73,,went,went,went,465.45,465.65
was,was,was,469.73,469.91,,to,to,to,465.65,465.73
an,an,an,469.91,469.99,,the,the,the,465.73,465.84
amazing,amazing,amazing,469.99,470.47,,auditorium.,auditorium,auditorium,465.839999,466.519999
"detective,",detective,detective,470.47,471.07,,The,The,the,467.16,467.28
she,she,she,471.26,471.5,,Gumshoe,Gumshoe,<unk>,467.309999,467.679999
knew,knew,knew,471.5,471.72,,gang,gang,gang,467.68,468.01
that,that,that,471.72,471.84,,sat,sat,sat,468.01,468.25
the,the,the,471.84,471.96,,in,in,in,468.25,468.36
tiny,tiny,tiny,471.97,472.37,,a,a,a,468.359999,468.429999
details,details,details,472.38,472.92,,circle,circle,circle,468.43,468.81
are,are,are,472.96,473.12,,on,on,on,468.81,468.91
the,the,the,473.12,473.24,,the,the,the,468.91,469.02
key,key,key,473.24,473.69,,"stage,",stage,stage,469.02,469.52
to,to,to,473.7,473.85,,hidden,hidden,hidden,469.65,469.97
solving,solving,solving,473.85,474.32,,behind,behind,behind,469.97,470.27
a,a,a,474.32,474.4,,the,the,the,470.27,470.36
case.,case,case,474.4,474.98,,blue,blue,blue,470.36,470.68
If,If,if,475.64,475.83,,stage,stage,stage,470.68,471.05
Coco,Coco,coco,475.83,476.18,,curtain.,curtain,curtain,471.05,471.51
was,was,was,476.179999,476.369999,,They,They,they,472.19,472.36
"stolen,",stolen,stolen,476.37,477.03,,passed,passed,passed,472.36,472.71
then,then,then,477.4,477.54,,around,around,around,472.71,472.91
the,the,the,477.54,477.64,,the,the,the,472.91,473
library,library,library,477.639999,478.139999,,hunk,hunk,hunk,473,473.25
was,was,was,478.16,478.4,,of,of,of,473.26,473.3
definitely,definitely,definitely,478.46,479.1,,"cheese,",cheese,cheese,473.32,473.8
a,a,a,479.099999,479.179999,,examining,examining,examining,473.86,474.5
crime,crime,crime,479.219999,479.609999,,the,the,the,474.5,474.61
scene.,scene,scene,479.61,479.87,,bite,bite,bite,474.62,474.83
Tully,Tully,tully,480.679999,480.999999,,marks,marks,marks,474.83,475.12
quickly,quickly,quickly,481,481.38,,on,on,on,475.12,475.26
pulled,pulled,pulled,481.38,481.65,,it,it,it,475.26,475.38
out,out,out,481.65,481.79,,with,with,with,475.42,475.63
her,her,her,481.799999,481.949999,,Tully's,Tully's,<unk>,475.63,475.99
notebook,notebook,notebook,481.95,482.42,,magnifying,magnifying,magnifying,476.02,476.61
out,out,out,482.45,482.58,,glass.,glass,glass,476.61,477.06
of,of,of,482.58,482.69,,You,You,you,477.94,478.09
her,her,her,482.69,482.82,,can,can,can,478.09,478.27
backpack.,backpack,backpack,482.82,483.54,,see,see,see,478.27,478.54
She,She,she,484.07,484.25,,the,the,the,478.54,478.67
was,was,was,484.25,484.38,,marks,marks,marks,478.679999,479.079999
in,in,in,484.379999,484.519999,,on,on,on,479.08,479.14
charge,charge,charge,484.52,484.8,,the,the,the,479.139999,479.289999
of,of,of,484.799999,484.939999,,top,top,top,479.3,479.69
writing,writing,writing,484.940001,485.180001,,and,and,and,479.87,480.09
down,down,down,485.18,485.42,,bottom,bottom,bottom,480.09,480.43
all,all,all,485.5,485.85,,teeth,teeth,teeth,480.429999,480.789999
of,of,of,485.85,485.98,,biting,biting,biting,480.88,481.19
the,the,the,485.98,486.06,,all,all,all,481.2,481.46
notes,notes,notes,486.059999,486.409999,,the,the,the,481.46,481.55
for,for,for,486.42,486.53,,way,way,way,481.549999,481.739999
the,the,the,486.53,486.63,,through,through,through,481.74,481.96
Gumshoe,Gumshoe,<unk>,486.63,486.73,,the,the,the,481.96,482.06
"gang,",gang,gang,487.02,487.33,,"cheese,",cheese,cheese,482.059999,482.589999
which,which,which,487.65,487.83,,except,except,except,482.99,483.2
was,was,was,487.83,488,,for,for,for,483.2,483.31
usually,usually,usually,488,488.35,,right,right,right,483.309999,483.509999
stuff,stuff,stuff,488.35,488.67,,"there,",there,there,483.509999,483.869999
like,like,like,488.7,488.91,,in,in,in,484.289999,484.409999
"suspects,",suspects,suspects,488.91,489.61,,the,the,the,484.41,484.51
"dues,",dues,dues,489.68,490.21,,front!,front,front,484.51,484.98
"motives,",motives,motives,490.3,490.79,,Lyra,Lyra,<unk>,485.690001,485.990001
and,and,and,490.79,490.96,,"said,",said,said,486.01,486.33
alibis.,alibis,alibis,490.97,491.61,,examining,examining,examining,486.46,487.01
She,She,she,492.21,492.37,,the,the,the,487.02,487.13
examined,examined,examined,492.37,492.86,,evidence.,evidence,evidence,487.13,487.6
the,the,the,492.89,493.03,,Tully,'Tully,<unk>,488.59,488.6
scene.,scene,scene,493.03,493.47,,leaped,leaped,leaped,488.61,488.95
She,She,she,494.16,494.35,,to,to,to,488.95,489.05
wrote,wrote,wrote,494.349999,494.569999,,her,her,her,489.05,489.19
down,down,down,494.58,494.89,,feet.,feet,feet,489.19,489.55
that,that,that,494.889999,495.069999,,You're,You're,you're,489.83,490.14
both,both,both,495.07,495.34,,a,a,a,490.14,490.23
Howard,Howard,howard,495.34,495.82,,genius!,genius,genius,490.23,490.95
and,and,and,495.89,496.149,,Whoever,Whoever,whoever,491.26,491.68
Coco's,Coco's,<unk>,496.15,496.51,,took,took,took,491.68,491.95
lids,lids,lids,496.54,496.85,,that,that,that,491.97,492.14
had,had,had,496.86,497.04,,bite,bite,bite,492.14,492.32
been,been,been,497.04,497.22,,of,of,of,492.32,492.39
removed.,removed,removed,497.219999,497.729999,,cheese,cheese,cheese,492.39,492.89
She,She,she,498.429999,498.579999,,is,is,is,492.95,493.3
walked,walked,walked,498.58,498.86,,missing,missing,missing,493.34,493.77
all,all,all,498.96,499.34,,a,a,a,493.77,493.84
along,along,along,499.34,499.71,,front,front,front,493.84,494.13
the,the,the,499.71,499.82,,tooth!,tooth,tooth,494.139999,494.679999
row,row,row,499.82,500.02,,"Hmm,",Hmm,<unk>,495.66,496.17
of,of,of,500.02,500.15,,Megan,Megan,megan,497.07,497.36
"cages,",cages,cages,500.15,500.65,,and,and,and,497.36,497.5
looking,looking,looking,500.75,501.08,,Emily,Emily,emily,497.509999,497.869999
for,for,for,501.08,501.21,,are,are,are,497.87,498
something,something,something,501.219999,501.739999,,both,both,both,498.02,498.29
out,out,out,501.74,501.81,,missing,missing,missing,498.29,498.64
of,of,of,501.809999,501.939999,,"teeth,",teeth,teeth,498.65,499.1
place.,place,place,501.94,502.4,,Alex,Alex,alex,499.15,499.47
Aha!,Aha,aha,503.129999,503.669999,,said.,said,said,499.469999,499.809999
At,At,at,504.059999,504.189999,,But,But,but,500.589999,500.669999
the,the,the,504.190001,504.330001,,that,that,that,500.67,500.75
end,end,end,504.37,504.57,,doesn't,doesn't,doesn't,500.75,500.92
of,of,of,504.57,504.7,,make,make,make,500.969999,501.179999
the,the,the,504.7,504.78,,"sense,",sense,sense,501.179999,501.689999
table,table,table,504.78,505.24,,because,because,because,501.87,502.24
next,next,next,505.26,505.49,,Megan,Megan,megan,502.27,502.64
to,to,to,505.49,505.65,,has,has,has,502.639999,502.769999
Zake's,Zake's,<unk>,505.97,505.98,,already,already,already,502.77,503.01
cage,cage,cage,505.99,506.46,,been,been,been,503.01,503.32
was,was,was,506.51,506.69,,cleared,cleared,cleared,503.369999,503.959999
a,a,a,506.69,506.76,,and,and,and,504.34,504.82
paper,paper,paper,506.76,507.11,,Emily,Emily,emily,504.91,505.29
towel.,towel,towel,507.11,507.61,,already,already,already,505.29,505.58
Sitting,Sitting,sitting,508.29,508.55,,has,has,has,505.58,505.91
on,on,on,508.55,508.68,,a,a,a,505.91,505.97
top,top,top,508.68,508.99,,turtle.,turtle,turtle,505.97,506.45
of,of,of,508.99,509.14,,Why,Why,why,507.01,507.16
the,the,the,509.14,509.21,,would,would,would,507.16,507.33
paper,paper,paper,509.21,509.51,,she,she,she,507.33,507.6
towel,towel,towel,509.52,509.98,,steal,steal,steal,507.6,508.07
was,was,was,510.1,510.27,,one?,one,one,508.07,508.38
a,a,a,510.27,510.33,,Tully,Tully,tully,509.01,509.29
large,large,large,510.33,510.75,,reasoned.,reasoned,reasoned,509.29,509.73
hunk,hunk,hunk,510.75,511,,She,She,she,510.6,510.76
of,of,of,511.01,511.16,,sank,sank,sank,510.76,511
cheddar,cheddar,cheddar,511.16,511.49,,back,back,back,511,511.24
cheese,cheese,cheese,511.49,512.14,,down.,down,down,511.24,511.63
with,with,with,512.22,512.39,,"Well,",Well,well,512.37,512.78
a,a,a,512.389999,512.459999,,we,we,we,513.16,513.3
single,single,single,512.47,512.95,,could,could,could,513.3,513.45
bite,bite,bite,513.01,513.28,,still,still,still,513.45,513.66
taken,taken,taken,513.28,513.62,,talk,talk,talk,513.66,513.99
out.,out,out,513.62,513.79,,to,to,to,513.99,514.13
A,A,a,514.389999,514.489999,,"Emily,",Emily,emily,514.13,514.6
bite,bite,bite,514.49,514.81,,Caleb,Caleb,caleb,514.71,515.07
so,so,so,514.809999,515.299999,,"said,",said,said,515.07,515.35
"perfect,",perfect,perfect,515.3,515.92,,patting,patting,patting,515.45,515.81
she,she,she,516.02,516.23,,Tully's,Tully's,<unk>,515.809999,516.069999
could,could,could,516.23,516.36,,shoulder.,shoulder,shoulder,516.07,516.56
see,see,see,516.36,516.57,,That,That,that,517.219999,517.379999
all,all,all,516.63,516.95,,is,is,is,517.38,517.56
of,of,of,516.95,517.08,,"true,",TRUE,TRUE,517.559999,518.049999
the,the,the,517.08,517.16,,"okay,",okay,okay,518.7,519.14
teeth,teeth,teeth,517.16,517.45,,let's,let's,let's,519.679999,519.839999
marks.,marks,marks,517.48,517.88,,go,go,go,519.839999,519.979999
Tully,Tully,tully,518.83,519.1,,find,find,find,519.98,520.26
carefully,carefully,carefully,519.099999,519.529999,,her!,her,her,520.26,520.47
lifted,lifted,lifted,519.53,519.96,,Tully,Tully,tully,520.99,521.25
the,the,the,519.96,520.03,,said,said,said,521.25,521.47
hunk,hunk,hunk,520.029999,520.279999,,leaping,leaping,leaping,521.469999,521.759999
of,of,of,520.279999,520.389999,,to,to,to,521.76,521.88
cheese,cheese,cheese,520.389999,520.869999,,her,her,her,521.879999,522.019999
and,and,and,520.959999,521.139999,,feet.,feet,feet,522.02,522.32
placed,placed,placed,521.139999,521.479999,,The,The,the,522.93,523.06
it,it,it,521.48,521.5,,bell,bell,bell,523.06,523.32
in,in,in,521.51,521.68,,rang,rang,rang,523.32,523.69
her,her,her,521.68,521.79,,and,and,and,523.73,523.9
backpack.,backpack,backpack,521.799999,522.319999,,it,it,it,523.9,523.97
She,She,she,522.99,523.16,,was,was,was,523.97,524.12
quickly,quickly,quickly,523.16,523.51,,library,library,library,524.12,524.58
finished,finished,finished,523.51,523.86,,time.,time,time,524.58,524.94
giving,giving,giving,523.88,524.15,,Perfect!,Perfect,perfect,525.53,526.16
food,food,food,524.15,524.41,,Emily,Emily,emily,526.67,526.95
and,and,and,524.41,524.56,,should,should,should,526.95,527.09
water,water,water,524.56,524.91,,be,be,be,527.1,527.23
to,to,to,524.92,525.05,,heading,heading,heading,527.23,527.49
Howard,Howard,howard,525.05,525.34,,to,to,to,527.49,527.57
and,and,and,525.34,525.5,,the,the,the,527.57,527.67
Zake,Zake,<unk>,525.5,525.6,,library,library,library,527.67,528.13
and,and,and,526.01,526.14,,now.,now,now,528.13,528.57
glanced,glanced,glanced,526.15,526.37,,Let's,Let's,let's,529.23,529.43
at,at,at,526.54,526.64,,go,go,go,529.43,529.63
the,the,the,526.64,526.72,,rattle,rattle,rattle,529.63,530.07
clock.,clock,clock,526.72,527.11,,her,her,her,530.08,530.31
Alex,Alex,alex,528.35,528.67,,feathers.,feathers,feathers,530.309999,531.079999
would,would,would,528.67,528.75,,The,The,the,532.05,532.22
be,be,be,528.76,528.89,,rain,rain,rain,532.219999,532.599999
in,in,in,528.89,528.98,,splashed,splashed,splashed,532.61,533.1
extended,extended,extended,528.98,529.44,,the,the,the,533.099999,533.209999
day,day,day,529.44,529.62,,window,window,window,533.21,533.48
right,right,right,529.62,529.81,,"panes,",panes,<unk>,533.509999,533.719999
"now,",now,now,529.81,530.07,,but,but,but,534.16,534.31
so,so,so,530.34,530.76,,the,the,the,534.309999,534.399999
Tully,Tully,Tully,530.91,531.17,,library,library,library,534.4,534.93
had,had,had,531.179999,531.369999,,was,was,was,534.929999,535.139999
20,20,<unk>,531.38,531.74,,warm,warm,warm,535.15,535.62
minutes,minutes,minutes,531.74,532.13,,and,and,and,535.62,535.81
to,to,to,532.13,532.22,,bright,bright,bright,535.82,536.16
go,go,go,532.219999,532.379999,,and,and,and,536.16,536.37
see,see,see,532.38,532.61,,smelled,smelled,smelled,536.37,536.69
him,him,him,532.61,532.79,,wonderful,wonderful,wonderful,536.69,537.41
and,and,and,532.83,533.02,,like,like,like,537.66,537.86
tell,tell,tell,533.02,533.25,,dusty,dusty,dusty,537.86,538.24
him,him,him,533.25,533.34,,old,old,old,538.24,538.46
about,about,about,533.34,533.61,,books.,books,books,538.48,538.93
Coco!,Coco,coco,533.63,534.11,,The,The,the,539.74,539.87
Extended,Extended,extended,535.7,536.16,,rest,rest,rest,539.869999,540.179999
day,day,day,536.16,536.34,,of,of,of,540.18,540.2
was,was,was,536.34,536.52,,the,the,the,540.199999,540.269999
held,held,held,536.53,536.74,,class,class,class,540.27,540.64
in,in,in,536.77,536.81,,had,had,had,540.64,540.8
the,the,the,536.82,536.9,,spread,spread,spread,540.8,541.05
gym,gym,gym,536.9,537.17,,out,out,out,541.05,541.26
after,after,after,537.17,537.39,,among,among,among,541.28,541.51
school.,school,school,537.389999,537.849999,,the,the,the,541.51,541.63
Alex,Alex,alex,538.369999,538.719999,,rows,rows,rows,541.63,541.91
was,was,was,538.719999,538.849999,,of,of,of,541.91,542.06
at,at,at,538.85,538.94,,"bookshelves,",bookshelves,bookshelves,542.06,542.63
the,the,the,538.940001,539.030001,,searching,searching,searching,543.02,543.4
crafts,crafts,crafts,539.029999,539.349999,,for,for,for,543.4,543.53
"table,",table,table,539.379999,539.829999,,books,books,books,543.53,543.76
drawing,drawing,drawing,539.879999,540.169999,,to,to,to,543.76,543.87
some,some,some,540.17,540.35,,check,check,check,543.87,544.08
kind,kind,kind,540.36,540.54,,out.,out,out,544.08,544.29
of,of,of,540.54,540.77,,This,This,this,545.23,545.45
weird,weird,weird,540.77,541.18,,is,is,is,545.46,545.6
science,science,science,541.19,541.59,,the,the,the,545.6,545.75
experiment,experiment,experiment,541.59,542.12,,best,best,best,545.78,546.08
with,with,with,542.13,542.29,,time,time,time,546.09,546.34
Javier.,Javier,javier,542.29,542.84,,to,to,to,546.34,546.46
Tully,Tully,tully,543.61,543.89,,find,find,find,546.46,546.9
slipped,slipped,slipped,543.89,544.19,,"Emily,",Emily,emily,546.93,547.53
into,into,into,544.19,544.38,,Alex,Alex,alex,548.13,548.41
the,the,the,544.38,544.49,,said,said,said,548.42,548.64
seat,seat,seat,544.49,544.78,,quietly.,quietly,quietly,548.639999,549.219999
opposite,opposite,opposite,544.81,545.19,,They,They,they,550.05,550.18
Alex.,Alex,alex,545.23,545.77,,checked,checked,checked,550.179999,550.459999
Coco's,Coco's,<unk>,547.05,547.44,,each,each,each,550.48,550.75
"gone,",gone,gone,547.45,547.92,,row,row,row,550.75,551.03
Tully,Tully,tully,548.349999,548.639999,,until,until,until,551.03,551.3
said.,said,said,548.639999,548.949999,,they,they,they,551.3,551.45
Alex,Alex,alex,549.59,549.92,,saw,saw,saw,551.45,551.72
looked,looked,looked,549.92,550.13,,her.,her,her,551.719999,552.019999
up,up,up,550.13,550.29,,She,She,she,552.66,552.81
and,and,and,550.26,550.36,,was,was,was,552.809999,552.909999
squinted,squinted,squinted,550.38,550.75,,looking,looking,looking,552.91,553.19
at,at,at,550.81,550.9,,down,down,down,553.19,553.42
her.,her,her,550.91,551.19,,at,at,at,553.42,553.53
What,What,what,551.91,552.03,,a,a,a,553.53,553.57
are,are,are,552.03,552.09,,book,book,book,553.57,553.79
you,you,you,552.09,552.2,,in,in,in,553.79,553.88
doing,doing,doing,552.25,552.57,,her,her,her,553.88,553.99
"here,",here,here,552.57,552.77,,"hand,",hand,hand,554.03,554.43
Tully?,Tully,tully,552.77,553.26,,standing,standing,standing,554.66,555.01
Never,Never,never,553.62,553.86,,in,in,in,555.009999,555.119999
mind,mind,mind,553.86,554.14,,front,front,front,555.12,555.28
that.,that,that,554.15,554.54,,of,of,of,555.28,555.38
Coco's,Coco's,<unk>,554.76,555.21,,the,the,the,555.38,555.49
been,been,been,555.26,555.64,,same,same,same,555.5,555.99
turtle-napped!,turtlenapped,<unk>,556.609999,556.619999,,animal,animal,animal,556,556.44
What?,What,what,557.43,557.86,,section,section,section,556.440001,556.950001
The,The,the,558.08,558.2,,that,that,that,556.949999,557.169999
turtle's,turtle's,turtle's,558.21,558.55,,Tully,Tully,tully,557.41,557.6
taking,taking,taking,558.55,558.85,,searched,searched,searched,557.6,558.01
a,a,a,558.85,558.93,,through,through,through,558.01,558.23
nap?,nap,nap,558.93,559.4,,on,on,on,558.23,558.35
No!,No,no,559.71,560.18,,Wednesday.,Wednesday,wednesday,558.37,558.95
Like,Like,like,560.59,560.78,,"Oh,",Oh,oh,560.04,560.39
kidnapped!,kidnapped,kidnapped,561.05,561.71,,Emily,Emily,emily,560.43,561.37
Coco's,Coco's,<unk>,562.3,562.5,,Tully,Tully,tully,561.78,562.05
gone!,gone,gone,562.67,563.09,,whispered.,whispered,whispered,562.05,562.57
Javier,Javier,javier,563.85,564.25,,Emily,Emily,emily,563.24,563.54
gasped.,gasped,gasped,564.26,564.82,,snapped,snapped,snapped,563.54,563.84
That's,That's,that's,565.26,565.55,,the,the,the,563.88,563.97
terrible!,terrible,terrible,565.61,566.46,,book,book,book,563.97,564.17
I,I,i,566.94,567.08,,shut,shut,shut,564.17,564.46
"know,",know,know,567.08,567.51,,and,and,and,564.5,564.66
Tully,Tully,tully,568.03,568.31,,held,held,held,564.66,564.88
said,said,said,568.309999,568.659999,,it,it,it,564.88,564.94
and,and,and,568.99,569.14,,behind,behind,behind,564.94,565.22
then,then,then,569.139999,569.279999,,her,her,her,565.22,565.32
quickly,quickly,quickly,569.28,569.65,,back.,back,back,565.32,565.7
explained,explained,explained,569.65,570.17,,Hey,Hey,hey,566.17,566.54
what,what,what,570.17,570.29,,"guys,",guys,guys,566.55,567.15
she'd,she'd,she'd,570.29,570.45,,she,she,she,567.59,567.78
found.,found,found,570.45,570.88,,said.,said,said,567.79,568.12
We,We,we,571.57,571.71,,Can,Can,can,568.87,569.01
need,need,need,571.71,571.88,,we,we,we,569.01,569.12
to,to,to,571.88,571.98,,talk,talk,talk,569.12,569.39
tell,tell,tell,571.98,572.23,,to,to,to,569.389999,569.489999
Mr,Mr,mr,572.23,572.55,,you?,you,you,569.49,569.74
"Hornswoggle,",Hornswoggle,<unk>,572.549999,573.179999,,Alex,Alex,alex,570.009999,570.369999
Alex,Alex,alex,573.21,573.52,,asked.,asked,asked,570.37,570.76
"said,",said,said,573.52,573.77,,Emily,Emily,emily,571.469999,571.769999
putting,putting,putting,573.839999,574.109999,,looked,looked,looked,571.77,572
down,down,down,574.109999,574.279999,,"around,",around,around,572,572.4
his,his,his,574.279999,574.419999,,"Um,",Um,um,573.17,573.79
marker.,marker,marker,574.42,574.83,,sure.,sure,sure,574.039999,574.649999
He,He,he,575.379999,575.529999,,We're,We're,we're,575.529999,575.669999
won't,won't,won't,575.529999,575.719999,,looking,looking,looking,575.67,575.99
be,be,be,575.719999,575.839999,,for,for,for,575.99,576.12
back,back,back,575.84,576.11,,the,the,the,576.119999,576.209999
at,at,at,576.109999,576.279999,,turtle,turtle,turtle,576.21,576.51
school,school,school,576.28,576.61,,"snatcher,",snatcher,<unk>,576.79,577.11
until,until,until,576.61,576.89,,Tully,Tully,tully,577.48,577.77
tomorrow.,tomorrow,tomorrow,576.89,577.57,,"said,",said,said,577.77,578.09
I,I,i,578.03,578.14,,explaining,explaining,explaining,578.32,578.87
was,was,was,578.14,578.26,,about,about,about,578.88,579.07
hoping,hoping,hoping,578.26,578.55,,the,the,the,579.07,579.18
we,we,we,578.55,578.63,,cheese,cheese,cheese,579.18,579.65
could,could,could,578.63,578.75,,they,they,they,579.65,579.8
figure,figure,figure,578.75,578.98,,found,found,found,579.8,580.07
out,out,out,578.98,579.1,,at,at,at,580.07,580.17
something,something,something,579.1,579.47,,the,the,the,580.17,580.26
"today,",today,today,579.53,580.14,,crime,crime,crime,580.26,580.6
Tully,Tully,tully,580.63,580.92,,scene.,scene,scene,580.6,580.86
said.,said,said,580.92,581.22,,Whoever,Whoever,whoever,582.23,582.7
What,What,what,582,582.15,,bit,bit,bit,582.73,582.93
if,if,if,582.15,582.22,,the,the,the,582.94,583.06
he,he,he,582.22,582.35,,cheese,cheese,cheese,583.06,583.57
climbed,climbed,climbed,582.35,582.74,,is,is,is,583.6,583.77
out,out,out,582.74,582.82,,missing,missing,missing,583.77,584.09
of,of,of,582.82,582.92,,a,a,a,584.09,584.14
his,his,his,582.92,583.08,,"tooth,",tooth,tooth,584.139999,584.559999
cage?,cage,cage,583.08,583.51,,and,and,and,584.91,585.16
Alex,Alex,alex,583.65,583.98,,so,so,so,585.16,585.62
asked.,asked,asked,583.98,584.37,,are,are,are,585.67,586
Javier,Javier,javier,584.84,585.17,,you.,you,you,586.059999,586.479999
shook,shook,shook,585.179999,585.419999,,But,But,but,587.29,587.46
his,his,his,585.42,585.54,,that,that,that,587.46,587.6
head.,head,head,585.54,585.79,,could,could,could,587.599999,587.689999
Turtles,Turtles,turtles,586.12,586.46,,be,be,be,587.7,587.85
can't,can't,can't,586.46,586.71,,lots,lots,lots,587.849999,588.119999
climb.,climb,climb,586.71,587.11,,of,of,of,588.12,588.26
Especially,Especially,especially,587.33,587.9,,"people,",people,people,588.259999,588.679999
aquatic,aquatic,aquatic,587.9,588.32,,Emily,Emily,emily,588.71,589.03
turtles.,turtles,turtles,588.32,588.73,,said.,said,said,589.03,589.37
Tully,Tully,tully,589.219999,589.499999,,Not,Not,not,590.099999,590.259999
stared,stared,stared,589.509999,590.079999,,as,as,as,590.259999,590.369999
at,at,at,590.13,590.31,,many,many,many,590.37,590.6
Javier.,Javier,javier,590.309999,590.849999,,as,as,as,590.599999,590.719999
"Hey,",Hey,hey,591.75,592.2,,you,you,you,590.719999,590.829999
you,you,you,592.629999,592.779999,,might,might,might,590.83,591.01
know,know,know,592.779999,592.899999,,"expect,",expect,expect,591.009999,591.639999
a,a,a,592.9,592.97,,said,said,said,591.71,591.94
bunch,bunch,bunch,592.969999,593.169999,,Alex.,Alex,alex,591.94,592.4
about,about,about,593.21,593.41,,It's,It's,it's,592.99,593.16
"animals,",animals,animals,593.43,593.95,,important,important,important,593.16,593.63
right?,right,right,593.949999,594.249999,,that,that,that,593.629999,593.709999
Javier,Javier,javier,594.96,595.32,,we,we,we,593.709999,593.859999
shrugged.,shrugged,shrugged,595.32,595.81,,find,find,find,593.859999,594.229999
Some.,Some,some,596.4,596.88,,"Coco,",Coco,coco,594.27,594.9
I,I,i,596.93,597.02,,Tully,Tully,tully,595.05,595.36
guess.,guess,guess,597.02,597.48,,said.,said,said,595.36,595.7
My,My,my,597.92,598.06,,She's,She's,she's,596.28,596.57
parents,parents,parents,598.06,598.4,,pregnant,pregnant,pregnant,596.58,597.08
own,own,own,598.4,598.48,,and,and,and,597.17,597.26
the,the,the,598.48,598.58,,needs,needs,needs,597.27,597.48
pet,pet,pet,598.58,598.78,,a,a,a,597.48,597.56
shop,shop,shop,598.78,599.03,,safe,safe,safe,597.56,597.88
Claws,Claws,claws,599.1,599.38,,place,place,place,597.88,598.13
and,and,and,599.38,599.51,,to,to,to,598.13,598.23
Paws,Paws,paws,599.51,599.87,,lay,lay,lay,598.23,598.41
down,down,down,599.9,600.06,,her,her,her,598.41,598.57
at,at,at,600.06,600.14,,eggs.,eggs,eggs,598.58,599
the,the,,600.15,600.27,,Emily's,Emily's,emily's,599.88,600.26
Centerville,Centerville,<unk>,600.34,600.6,,face,face,face,600.26,600.58
mall.,mall,mall,600.6,601.02,,went,went,went,600.58,600.74
That's,That's,that's,601.6,601.83,,a,a,a,600.74,600.78
right!,right,right,601.83,602.1,,little,little,little,600.78,601
Then,Then,then,602.4,602.51,,white.,white,white,601,601.32
you,you,you,602.51,602.6,,Really?,Really,really,601.98,602.58
